"","File","Date","Subject","Result","TA_Tally","NIL_Tally"
"26","Ireland-seanad-minutes-2004February24-p7.html","2004/2/24","24/Feb/2004 Civil Registration Bill 2003 [D&aacute;il]: Report and Final Stages.","[1011]Amendment declared lost.","17","28"
"27","Ireland-seanad-minutes-2004February24-p7.html","2004/2/24","24/Feb/2004 Civil Registration Bill 2003 [D&aacute;il]: Report and Final Stages.","[1017]Amendment declared carried.","28","17"
"28","Ireland-seanad-minutes-2004February25-p7.html","2004/2/25","25/Feb/2004 Dormant Accounts: Motion.","[1199]Amendment declared carried.","27","17"
"29","Ireland-seanad-minutes-2004February25-p7.html","2004/2/25","25/Feb/2004 Dormant Accounts: Motion.","[1201]Question declared carried.","28","18"
"30","Ireland-seanad-minutes-2004February25-p9.html","2004/2/25","25/Feb/2004 Civil Registration Bill 2003: Motion for Earlier Signature.","[1203]Question declared carried.","27","17"
"31","Ireland-seanad-minutes-2004February26-p6.html","2004/2/26","26/Feb/2004 Public Service Superannuation (Miscellaneous Provisions) Bill 2004: Committee Stage.","[1253]Amendment declared lost.","15","29"
"32","Ireland-seanad-minutes-2004February26-p8.html","2004/2/26","26/Feb/2004 Public Service Superannuation (Miscellaneous Provisions) Bill 2004: Committee Stage (Resumed).","[1285]Amendment declared lost.","12","28"
"33","Ireland-seanad-minutes-2004February26-p8.html","2004/2/26","26/Feb/2004 Public Service Superannuation (Miscellaneous Provisions) Bill 2004: Committee Stage (Resumed).","[1285]Amendment declared lost.","12","27"
"34","Ireland-seanad-minutes-2004January28-p8.html","2004/1/28","28/Jan/2004 F&Aacute;S Community Employment Schemes: Motion.","[283]Amendment declared carried.","27","16"
"35","Ireland-seanad-minutes-2004January30-p3.html","2004/1/30","30/Jan/2004 Order of Business.","[349]Question declared carried.","19"," 7"
"36","Ireland-seanad-minutes-2004July01-p6.html","2004/7/ 1","01/Jul/2004 Water Services Bill 2003: Report and Final Stages.","[609]Amendment declared lost.","16","22"
"37","Ireland-seanad-minutes-2004July01-p7.html","2004/7/ 1","01/Jul/2004 National Monuments (Amendment) Bill 2004: Second Stage.","[667]Question declared carried.","27","14"
"38","Ireland-seanad-minutes-2004July06-p5.html","2004/7/ 6","06/Jul/2004 Residential Tenancies Bill 2003: Committee Stage.","[779]Amendment declared lost.","14","26"
"39","Ireland-seanad-minutes-2004July06-p7.html","2004/7/ 6","06/Jul/2004 Residential Tenancies Bill 2003: Committee Stage (Resumed).","[801]Question declared carried.","26","12"
"40","Ireland-seanad-minutes-2004July07-p12.html","2004/7/ 7","07/Jul/2004 Education for Persons with Special Educational Needs Bill 2003: Committee Stage (Resumed).","[965]Question declared carried.","26","16"
"41","Ireland-seanad-minutes-2004July07-p14.html","2004/7/ 7","07/Jul/2004 National Monuments (Amendment) Bill 2004: Report and Final Stages.","[1002]Question declared carried.","25","15"
"42","Ireland-seanad-minutes-2004July07-p14.html","2004/7/ 7","07/Jul/2004 National Monuments (Amendment) Bill 2004: Report and Final Stages.","[1003]Question declared carried.","25","15"
"43","Ireland-seanad-minutes-2004July07-p14.html","2004/7/ 7","07/Jul/2004 National Monuments (Amendment) Bill 2004: Report and Final Stages.","[1005]Question declared carried.","25","16"
"44","Ireland-seanad-minutes-2004July07-p17.html","2004/7/ 7","07/Jul/2004 Dormant Accounts (Amendment) Bill 2004: Committee Stage.","[1061]Question declared carried.","23","13"
"45","Ireland-seanad-minutes-2004July08-p8.html","2004/7/ 8","08/Jul/2004 Residential Tenancies Bill 2003: Report and Final Stages.","[1119]Amendment declared lost.","16","25"
"46","Ireland-seanad-minutes-2004July13-p4.html","2004/7/13","13/Jul/2004 State Airports Bill 2004: Second Stage.","[1271]Question declared carried.","27","16"
"47","Ireland-seanad-minutes-2004July14-p4.html","2004/7/14","14/Jul/2004 Order of Business.","[1281]Question declared carried.","36"," 5"
"48","Ireland-seanad-minutes-2004July14-p6.html","2004/7/14","14/Jul/2004 State Airports Bill 2004: Committee Stage.","[1293]Amendment declared lost.","14","28"
"49","Ireland-seanad-minutes-2004July14-p6.html","2004/7/14","14/Jul/2004 State Airports Bill 2004: Committee Stage.","[1317]Amendment declared lost.","14","28"
"50","Ireland-seanad-minutes-2004July14-p8.html","2004/7/14","14/Jul/2004 State Airports Bill 2004: Committee Stage (Resumed).","[1343]Question declared carried.","27","16"
"51","Ireland-seanad-minutes-2004July14-p8.html","2004/7/14","14/Jul/2004 State Airports Bill 2004: Committee Stage (Resumed).","[1345]Question declared carried.","27","16"
"52","Ireland-seanad-minutes-2004June02-p7.html","2004/6/ 2","02/Jun/2004 Health (Amendment) Bill 2004: Report and Final Stages.","[1467]Question declared carried.","29","12"
"53","Ireland-seanad-minutes-2004June16-p6.html","2004/6/16","16/Jun/2004 Housing (Stage Payments) Bill 2004: Second Stage.","[163]Question declared defeated.","11","23"
"54","Ireland-seanad-minutes-2004June22-p4.html","2004/6/22","22/Jun/2004 Order of Business.","[181]Amendment declared lost.","13","27"
"55","Ireland-seanad-minutes-2004June29-p7.html","2004/6/29","29/Jun/2004 Water Services Bill 2003: Committee Stage (Resumed).","[379]Question declared carried.","30","14"
"56","Ireland-seanad-minutes-2004June29-p9.html","2004/6/29","29/Jun/2004 Dormant Accounts (Amendment) Bill 2004: Second Stage.","[449]Question declared carried.","26","14"
"57","Ireland-seanad-minutes-2004June30-p12.html","2004/6/30","30/Jun/2004 Hospital Services: Motion.","[583]Amendment declared carried.","29","21"
"58","Ireland-seanad-minutes-2004March03-p6.html","2004/3/ 3","03/Mar/2004 Motor Vehicle (Duties and Licences) Bill 2004: Second Stage.","[1431]Question declared carried.","30","20"
"59","Ireland-seanad-minutes-2004March10-p4.html","2004/3/10","10/Mar/2004 Order of Business.","[1667]Amendment declared lost.","21","27"
"60","Ireland-seanad-minutes-2004March10-p8.html","2004/3/10","10/Mar/2004 Appointments to Semi-State Bodies: Motion.","[1769]Amendment declared carried.","23","20"
"61","Ireland-seanad-minutes-2004March11-p5.html","2004/3/11","11/Mar/2004 Garda S&iacute;och&aacute;na Bill 2004: Second Stage (Resumed).","[1803]Question declared carried.","28","11"
"62","Ireland-seanad-minutes-2004March23-p4.html","2004/3/23","23/Mar/2004 Social Welfare (Miscellaneous Provisions) Bill 2004: Second Stage.","[1903]Question declared carried.","26","15"
"63","Ireland-seanad-minutes-2004March23-p5.html","2004/3/23","23/Mar/2004 Finance Bill (Certified Money Bill) 2004: Second Stage.","[1939]Question declared carried.","26","15"
"64","Ireland-seanad-minutes-2004March24-p4.html","2004/3/24","24/Mar/2004 Order of Business.","Amendment declared lost.","18","25"
"65","Ireland-seanad-minutes-2004March24-p5.html","2004/3/24","24/Mar/2004 Social Welfare (Miscellaneous Provisions) Bill 2004: Committee and Remaining Stages.","[1973]Amendment declared lost.","16","26"
"66","Ireland-seanad-minutes-2004March24-p5.html","2004/3/24","24/Mar/2004 Social Welfare (Miscellaneous Provisions) Bill 2004: Committee and Remaining Stages.","[1987]Question declared carried.","26","17"
"67","Ireland-seanad-minutes-2004March24-p6.html","2004/3/24","24/Mar/2004 Finance Bill 2004 [Certified Money Bill]: Committee and Remaining Stages.","[2015]Recommendation declared lost.","13","28"
"68","Ireland-seanad-minutes-2004March24-p6.html","2004/3/24","24/Mar/2004 Finance Bill 2004 [Certified Money Bill]: Committee and Remaining Stages.","[2033]Question declared carried.","26","19"
"69","Ireland-seanad-minutes-2004March24-p8.html","2004/3/24","24/Mar/2004 Agency for the Irish Abroad: Motion.","[2067]Amendment declared carried.","27","17"
"70","Ireland-seanad-minutes-2004March31-p5.html","2004/3/31","31/Mar/2004 Private Security Services Bill 2001: Committee Stage.","[23]Amendment declared lost.","14","28"
"71","Ireland-seanad-minutes-2004May05-p4.html","2004/5/ 5","05/May/2004 Order of Business.","[725]Amendment declared lost.","19","27"
"72","Ireland-seanad-minutes-2004May05-p4.html","2004/5/ 5","05/May/2004 Order of Business.","[727]Question declared carried.","27","19"
"73","Ireland-seanad-minutes-2004May06-p9.html","2004/5/ 6","06/May/2004 Twenty-seventh Amendment of the Constitution Bill 2004: Report and Final Stages.","Question declared carried.","28","11"
"74","Ireland-seanad-minutes-2004May07-p5.html","2004/5/ 7","07/May/2004 Electoral (Amendment) Bill 2004: Second Stage.","[937]Question declared carried.","20","11"
"75","Ireland-seanad-minutes-2004May11-p7.html","2004/5/11","11/May/2004 Electoral (Amendment) Bill 2004: Committee Stage (Resumed).","[975]Amendment declared lost.","15","30"
"76","Ireland-seanad-minutes-2004May11-p9.html","2004/5/11","11/May/2004 Electoral (Amendment) Bill 2004: Committee Stage (Resumed).","[979]Amendment declared lost.","28","18"
"77","Ireland-seanad-minutes-2004May11-p9.html","2004/5/11","11/May/2004 Electoral (Amendment) Bill 2004: Committee Stage (Resumed).","[987]Amendment declared lost.","28","15"
"78","Ireland-seanad-minutes-2004May11-p9.html","2004/5/11","11/May/2004 Electoral (Amendment) Bill 2004: Committee Stage (Resumed).","[997]Amendment declared lost.","13","27"
"79","Ireland-seanad-minutes-2004May11-p9.html","2004/5/11","11/May/2004 Electoral (Amendment) Bill 2004: Committee Stage (Resumed).","[1015]Question declared carried.","26","11"
"80","Ireland-seanad-minutes-2004May12-p6.html","2004/5/12","12/May/2004 Electoral (Amendment) Bill 2004: Report and Final Stages.","[1065]Amendment declared lost.","16","25"
"81","Ireland-seanad-minutes-2004May12-p8.html","2004/5/12","12/May/2004 Electoral (Amendment) Bill 2004: Report and Final Stages (Resumed).","[1073]Amendment declared lost.","16","24"
"82","Ireland-seanad-minutes-2004May12-p8.html","2004/5/12","12/May/2004 Electoral (Amendment) Bill 2004: Report and Final Stages (Resumed).","[1077]Amendment declared lost.","14","25"
"83","Ireland-seanad-minutes-2004May12-p8.html","2004/5/12","12/May/2004 Electoral (Amendment) Bill 2004: Report and Final Stages (Resumed).","[1079]Question declared carried.","25","15"
"84","Ireland-seanad-minutes-2004May19-p9.html","2004/5/19","19/May/2004 Good Friday Agreement: Motion.","[1221]Amendment declared carried.","29","14"
"85","Ireland-seanad-minutes-2004May19-p9.html","2004/5/19","19/May/2004 Good Friday Agreement: Motion.","[1223]Question declared carried.","29","14"
"86","Ireland-seanad-minutes-2004May26-p11.html","2004/5/26","26/May/2004 Housing Provisions: Motion.","[1375]Amendment declared carried.","27","15"
"87","Ireland-seanad-minutes-2004May26-p6.html","2004/5/26","26/May/2004 Health (Amendment) Bill 2004: Second Stage.","[1301]Question declared carried.","23","13"
"88","Ireland-seanad-minutes-2004May26-p9.html","2004/5/26","26/May/2004 Adoptive Leave Bill 2004: Committee Stage (Resumed).","[1317]Question declared carried.","25","16"
"89","Ireland-seanad-minutes-2004November03-p5.html","2004/11/ 3","03/Nov/2004 Ombudsman (Defence Forces) Bill 2002: Report and Final Stages.","[729]Amendment declared lost.","20","30"
"90","Ireland-seanad-minutes-2004November03-p8.html","2004/11/ 3","03/Nov/2004 National Car Testing Service: Motion.","[819]Amendment declared carried.","30","17"
"91","Ireland-seanad-minutes-2004November03-p8.html","2004/11/ 3","03/Nov/2004 National Car Testing Service: Motion.","[819]Question declared carried.","29","18"
"92","Ireland-seanad-minutes-2004November10-p7.html","2004/11/10","10/Nov/2004 Tax Code: Motion.","[1071]Amendment declared lost.","19","28"
"93","Ireland-seanad-minutes-2004November17-p10.html","2004/11/17","17/Nov/2004 Health Services: Motion.","[1195]Amendment declared carried.","27","16"
"94","Ireland-seanad-minutes-2004November24-p4.html","2004/11/24","24/Nov/2004 Order of Business.","[1279]Amendment declared lost.","17","29"
"95","Ireland-seanad-minutes-2004November24-p8.html","2004/11/24","24/Nov/2004 Road Network: Motion.","[1379]Amendment declared carried.","27","18"
"96","Ireland-seanad-minutes-2004October06-p10.html","2004/10/ 6","06/Oct/2004 Educational Facilities: Motion.","[187]Amendment declared carried. ","26","18"
"97","Ireland-seanad-minutes-2004October06-p10.html","2004/10/ 6","06/Oct/2004 Educational Facilities: Motion.","[187]An Cathaoirleach:Arising from the failure to record Senator Ryans electronic vote as Nl, the result has been amended to: T, 27; Nl, 19. The tellers have agreed that the question is carried.","26","19"
"98","Ireland-seanad-minutes-2004October13-p14.html","2004/10/13","13/Oct/2004 Medical Cards: Motion","[373]Amendment declared carried.","28","19"
"99","Ireland-seanad-minutes-2004October13-p4.html","2004/10/13","13/Oct/2004 Order of Business.","[265]Amendment declared lost.","19","31"
"100","Ireland-seanad-minutes-2004October20-p10.html","2004/10/20","20/Oct/2004 Land Bill 2004: Report and Final Stages.","[425]Amendment declared lost.","20","27"
"101","Ireland-seanad-minutes-2004October20-p15.html","2004/10/20","20/Oct/2004 Garda Recruitment: Motion.","[519]Question declared carried.","29","17"
"102","Ireland-seanad-minutes-2004September29-p8.html","2004/9/29","29/Sep/2004 Disability Services: Motion.","[53]Amendment declared lost.","14","25"
"103","Ireland-seanad-minutes-2005April13-p9.html","2005/4/13","13/Apr/2005 Special Educational Needs: Motion.","[1859]Amendment declared lost.","14","28"
"104","Ireland-seanad-minutes-2005April19-p5.html","2005/4/19","19/Apr/2005 Criminal Law (Insanity) Bill 2002: Report and Final Stages.","[23]Amendment declared carried.","26","14"
"105","Ireland-seanad-minutes-2005April19-p5.html","2005/4/19","19/Apr/2005 Criminal Law (Insanity) Bill 2002: Report and Final Stages.","[27]Question declared carried.","26","16"
"106","Ireland-seanad-minutes-2005April20-p7.html","2005/4/20","20/Apr/2005 State Airports: Motion.","[199]Amendment declared carried.","28","18"
"107","Ireland-seanad-minutes-2005April27-p5.html","2005/4/27","27/Apr/2005 Health and Social Care Professionals Bill 2004: Report and Final Stages.","[337]Question declared carried.","26","12"
"108","Ireland-seanad-minutes-2005April27-p5.html","2005/4/27","27/Apr/2005 Health and Social Care Professionals Bill 2004: Report and Final Stages.","[349]Question declared carried.","26","15"
"109","Ireland-seanad-minutes-2005April27-p5.html","2005/4/27","27/Apr/2005 Health and Social Care Professionals Bill 2004: Report and Final Stages.","[363]Amendment declared lost.","13","24"
"110","Ireland-seanad-minutes-2005April27-p8.html","2005/4/27","27/Apr/2005 Road Safety: Motion.","[427]Amendment declared lost.","14","26"
"111","Ireland-seanad-minutes-2005December06-p9.html","2005/12/ 6","06/Dec/2005 Irish Medicines Board (Miscellaneous Provisions) Bill 2005: Committee Stage (Resumed).","[205]Amendment declared carried.","26","15"
"112","Ireland-seanad-minutes-2005December14-p9.html","2005/12/14","14/Dec/2005 Care of the Elderly: Motion.","[571]Amendment declared lost.","18","30"
"113","Ireland-seanad-minutes-2005December14-p9.html","2005/12/14","14/Dec/2005 Care of the Elderly: Motion.","[571]Question declared carried.","30","18"
"114","Ireland-seanad-minutes-2005February09-p6.html","2005/2/ 9","09/Feb/2005 Parental Leave (Amendment) Bill 2004: Committee Stage.","[497]Question declared carried.","32","20"
"115","Ireland-seanad-minutes-2005February09-p7.html","2005/2/ 9","09/Feb/2005 Overseas Development Aid: Motion.","[543]Amendment declared carried.","28","19"
"116","Ireland-seanad-minutes-2005February16-p4.html","2005/2/16","16/Feb/2005 Order of Business.","[605]An Leas-Chathaoirleach:I wish to inform the House that arising from the inadvertent casting of a vote against rather than for the question, the result of the division as shown on the display board has been amended with the agreement of the tellers from both sides. The amended result will appear in the journal of proceedings.","28","17"
"117","Ireland-seanad-minutes-2005February16-p7.html","2005/2/16","16/Feb/2005 Parental Leave (Amendment) Bill 2004: Report and Final Stages.","[651]Question declared carried.","28","18"
"118","Ireland-seanad-minutes-2005February23-p8.html","2005/2/23","23/Feb/2005 Employment Policy: Motion.","[975]Amendment declared lost.","12","28"
"119","Ireland-seanad-minutes-2005January26-p11.html","2005/1/26","26/Jan/2005 Sugar Beet Industry: Motion (Resumed).","[71]Amendment declared carried.","28","11"
"120","Ireland-seanad-minutes-2005June02-p7.html","2005/6/ 2","02/Jun/2005 Disability Bill 2004: Second Stage (Resumed).","[1529]Question declared carried.","26","17"
"121","Ireland-seanad-minutes-2005June14-p6.html","2005/6/14","14/Jun/2005 Disability Bill 2004: Committee Stage.","[1593]Question declared carried.","28","17"
"122","Ireland-seanad-minutes-2005June15-p7.html","2005/6/15","15/Jun/2005 Disability Bill 2004: Committee Stage (Resumed).","[1755]Question declared carried.","29","18"
"123","Ireland-seanad-minutes-2005June15-p7.html","2005/6/15","15/Jun/2005 Disability Bill 2004: Committee Stage (Resumed).","[1769]Amendment declared lost.","19","30"
"124","Ireland-seanad-minutes-2005June15-p8.html","2005/6/15","15/Jun/2005 Morris Tribunal Reports: Motion.","[1813]Amendment declared carried.","28","19"
"125","Ireland-seanad-minutes-2005June21-p6.html","2005/6/21","21/Jun/2005 Disability Bill 2004: Report Stage.","[1897]Question declared carried.","26","18"
"126","Ireland-seanad-minutes-2005June21-p6.html","2005/6/21","21/Jun/2005 Disability Bill 2004: Report Stage.","[1909]Amendment declared lost.","16","24"
"127","Ireland-seanad-minutes-2005June22-p6.html","2005/6/22","22/Jun/2005 Disability Bill 2004: Report Stage (Resumed) and Final Stage.","[1995]Amendment declared lost.","17","28"
"128","Ireland-seanad-minutes-2005June22-p6.html","2005/6/22","22/Jun/2005 Disability Bill 2004: Report Stage (Resumed) and Final Stage.","[1999]Question declared carried.","28","17"
"129","Ireland-seanad-minutes-2005June22-p6.html","2005/6/22","22/Jun/2005 Disability Bill 2004: Report Stage (Resumed) and Final Stage.","[2009]Amendment declared lost.","16","27"
"130","Ireland-seanad-minutes-2005June22-p6.html","2005/6/22","22/Jun/2005 Disability Bill 2004: Report Stage (Resumed) and Final Stage.","The Minister of State did not respond to the suggestion that there should be a disability commissioner. It is a good idea and I hope he will consider it in the future, perhaps in further legislation. The Ombudsman might have a brief in this regard but it would be a good initiative to have a separate person who would represent people under this legislation, overseeing the whole system but also dealing with questions of whether individual rights had been met.","27","16"
"131","Ireland-seanad-minutes-2005June22-p7.html","2005/6/22","22/Jun/2005 Inspector of Prisons Reports: Motion.","[2045]Amendment declared carried.","25","14"
"132","Ireland-seanad-minutes-2005June29-p9.html","2005/6/29","29/Jun/2005 National Consumer Agency: Motion.","[2347]Amendment declared lost.","20","31"
"133","Ireland-seanad-minutes-2005June30-p10.html","2005/6/30","30/Jun/2005 Garda S&iacute;och&aacute;na Bill 2004 [Seanad Bill amended by the D&aacute;il]: Report Stage (Resumed) and Final Stage.","[2455]Question declared carried.","25","18"
"134","Ireland-seanad-minutes-2005June30-p5.html","2005/6/30","30/Jun/2005 Order of Business.","[2415]Amendment declared lost.","19","29"
"135","Ireland-seanad-minutes-2005March02-p11.html","2005/3/ 2","02/Mar/2005 Totalisator (Amendment) Bill 2005: Second Stage.","[1095]Question declared lost.","18","25"
"136","Ireland-seanad-minutes-2005March02-p9.html","2005/3/ 2","02/Mar/2005 Social Welfare and Pensions Bill 2005: Second Stage (Resumed).","[1065]Question declared carried.","27","14"
"137","Ireland-seanad-minutes-2005March09-p7.html","2005/3/ 9","09/Mar/2005 Child Care Services: Motion.","[1283]Amendment declared carried.","24","16"
"138","Ireland-seanad-minutes-2005March23-p6.html","2005/3/23","23/Mar/2005 Finance Bill 2005 [Certified Money Bill]: Committee and Remaining Stages.","[1585]Recommendation declared lost.","12","28"
"139","Ireland-seanad-minutes-2005March23-p8.html","2005/3/23","23/Mar/2005 West Link Toll Bridge: Motion.","[1625]Amendment declared carried.","26","16"
"140","Ireland-seanad-minutes-2005March23-p8.html","2005/3/23","23/Mar/2005 West Link Toll Bridge: Motion.","[1625]Question declared carried.","26","16"
"141","Ireland-seanad-minutes-2005May04-p9.html","2005/5/ 4","04/May/2005 Immigrant Workers: Motion.","[563]Question declared carried.","28","19"
"142","Ireland-seanad-minutes-2005May11-p9.html","2005/5/11","11/May/2005 Anti-Social Behaviour: Motion.","[799]Amendment declared carried.","29","17"
"143","Ireland-seanad-minutes-2005November02-p6.html","2005/11/ 2","02/Nov/2005 Tax Code: Motion.","[1153]Amendment declared lost.","18","24"
"144","Ireland-seanad-minutes-2005November09-p7.html","2005/11/ 9","09/Nov/2005 Social Welfare Benefits: Motion.","[1323]Amendment declared carried.","27","17"
"145","Ireland-seanad-minutes-2005November16-p4.html","2005/11/16","16/Nov/2005 Order of Business.","[1459]Amendment declared lost.","19","30"
"146","Ireland-seanad-minutes-2005November16-p7.html","2005/11/16","16/Nov/2005 Juvenile Offenders: Motion.","[1529]Amendment declared carried.","25","21"
"147","Ireland-seanad-minutes-2005November23-p10.html","2005/11/23","23/Nov/2005 Iraq War: Motion.","[1749]Amendment declared carried.","27","19"
"148","Ireland-seanad-minutes-2005November30-p4.html","2005/11/30","30/Nov/2005 Order of Business.","[19]Amendment declared lost.","15","26"
"149","Ireland-seanad-minutes-2005November30-p8.html","2005/11/30","30/Nov/2005 Road Safety: Motion.","[79]Amendment declared carried.","27","17"
"150","Ireland-seanad-minutes-2005October05-p6.html","2005/10/ 5","05/Oct/2005 Tax Evasion: Motion.","[225]Amendment declared carried.","27","16"
"151","Ireland-seanad-minutes-2005October12-p6.html","2005/10/12","12/Oct/2005 Employees (Provision of Information and Consultation) Bill 2005: Committee Stage.","[453]Amendment declared lost.","20","25"
"152","Ireland-seanad-minutes-2005October12-p6.html","2005/10/12","12/Oct/2005 Employees (Provision of Information and Consultation) Bill 2005: Committee Stage.","[485]Amendment declared lost.","17","26"
"153","Ireland-seanad-minutes-2005October12-p9.html","2005/10/12","12/Oct/2005 National Sporting Facilities: Motion (Resumed).","[561]Amendment declared lost.","17","23"
"154","Ireland-seanad-minutes-2005October19-p6.html","2005/10/19","19/Oct/2005 Home Help Service: Motion.","[727]Amendment declared carried.","27","18"
"155","Ireland-seanad-minutes-2005October26-p9.html","2005/10/26","26/Oct/2005 Child Care Services: Motion.","[983]Amendment declared carried.","26","19"
"156","Ireland-seanad-minutes-2005October26-p9.html","2005/10/26","26/Oct/2005 Child Care Services: Motion.","[985]Question declared carried.","26","19"
"157","Ireland-seanad-minutes-2006April05-p6.html","2006/4/ 5","05/Apr/2006 Irish Language: Motion.","[577]Amendment declared carried.","26","16"
"158","Ireland-seanad-minutes-2006April26-p8.html","2006/4/26","26/Apr/2006 State Airports: Motion.","[749]Amendment declared carried.","26","13"
"159","Ireland-seanad-minutes-2006December05-p12.html","2006/12/ 5","05/Dec/2006 Electoral (Amendment) Bill 2006: Committee and Remaining Stages.","[1019]Amendment declared lost.","12","24"
"160","Ireland-seanad-minutes-2006December05-p9.html","2006/12/ 5","05/Dec/2006 Prisons Bill 2006: Report Stage.","[977]Amendment declared lost.","14","22"
"161","Ireland-seanad-minutes-2006December05-p9.html","2006/12/ 5","05/Dec/2006 Prisons Bill 2006: Report Stage.","[985]Question declared carried.","22","13"
"162","Ireland-seanad-minutes-2006December07-p7.html","2006/12/ 7","07/Dec/2006 Health (Nursing Homes) (Amendment) Bill 2006: Second Stage.","[1211]Question declared carried.","21","16"
"163","Ireland-seanad-minutes-2006December12-p9.html","2006/12/12","12/Dec/2006 European Communities Bill 2006: Committee Stage.","[1311]Question declared carried.","20","17"
"164","Ireland-seanad-minutes-2006February01-p4.html","2006/2/ 1","01/Feb/2006 Order of Business.","[917]Amendment declared lost.","24","31"
"165","Ireland-seanad-minutes-2006February01-p8.html","2006/2/ 1","01/Feb/2006 Child Care Investment Programme: Motion.","[975]Amendment declared lost.","21","28"
"166","Ireland-seanad-minutes-2006February08-p5.html","2006/2/ 8","08/Feb/2006 Order of Business.","[1131]Amendment declared lost.","18","24"
"167","Ireland-seanad-minutes-2006February08-p8.html","2006/2/ 8","08/Feb/2006 Road Network: Motion.","[1207]Amendment declared carried.","26","21"
"168","Ireland-seanad-minutes-2006February09-p4.html","2006/2/ 9","09/Feb/2006 Order of Business.","[1231]Amendment declared lost.","16","24"
